Sample,Group,SiO2_wt%,TiO2_wt%,Al2O3_wt%,Fe2O3T_wt%,MnO_wt%,MgO_wt%,CaO_wt%,Na2O_wt%,K2O_wt%,P2O5_wt%,Rb_ppm,Sr_ppm,Zr_ppm
SYN-01,Series A,48.4986,1.4962,16.7165,11.1444,0.1857,8.0487,10.5252,2.5797,0.5159,0.2891,22,430,105
SYN-02,Series A,50.8647,1.2208,17.0905,9.5626,0.1628,6.0020,8.7487,3.5605,2.5432,0.2442,48,390,145
SYN-03,Series A,56.4145,1.0238,17.8646,8.4622,0.1463,4.2833,7.4175,3.1341,1.0447,0.2090,62,350,170
SYN-04,Series B,54.9171,0.9356,17.7972,8.0342,0.1322,3.7628,6.9155,4.2713,3.0510,0.1831,85,320,205
SYN-05,Series B,61.9469,0.7288,17.5950,6.6632,0.1145,2.4987,5.3097,3.6439,1.3535,0.1458,105,270,240
SYN-06,Series B,59.5298,0.6861,17.1527,6.2557,0.1009,2.2198,4.8431,5.0449,4.0359,0.1311,132,245,275
SYN-07,Series C,68.1185,0.4335,16.3072,4.7477,0.0826,1.2385,3.3027,4.1284,1.5481,0.0928,155,190,315
SYN-08,Series C,74.9823,0.2027,14.0845,2.5332,0.0507,0.4053,1.4186,4.0531,2.2292,0.0404,190,115,365
SYN-09,Series C,49.2116,1.1048,17.8769,8.8380,0.1506,4.8207,7.4320,6.0259,4.3186,0.2209,118,360,230
SYN-10,Series C,56.8906,0.5395,17.7538,5.3948,0.0883,1.7656,3.7273,6.8661,6.8661,0.1079,175,205,340
